,map_name,junction_id,num_actors,scenario_spec_id,rep_id,num_collisions,num_preventative_maneuvers,near_miss_occurance,num_frames,prevent_vis_tot_frames,prevent_vis_stretch_frames,prevent_vis_tail_frames,prevent_lid_tot_frames,prevent_lid_stretch_frames,prevent_lid_tail_frames,prevent_both_tot_frames,prevent_both_stretch_frames,prevent_both_tail_frames,ego,maneuver.id,maneuver.type,maneuver.start_lane_id,maneuver.end_lane_id
86,Town05,2240,2,13,3,0,0,0,252,0,0,0,0,0,0,0,0,0,True,road2292_lane0,right,road51_lane3,road42_lane0
98,Town05,2240,2,13,9,0,0,0,254,0,0,0,0,0,0,0,0,0,True,road2292_lane0,right,road51_lane3,road42_lane0
120,Town05,2240,2,2,0,0,0,0,347,0,0,0,0,0,0,0,0,0,True,road2281_lane0,straight,road41_lane0,road42_lane0
122,Town05,2240,2,2,1,0,0,0,342,0,0,0,0,0,0,0,0,0,True,road2281_lane0,straight,road41_lane0,road42_lane0
124,Town05,2240,2,2,2,0,0,0,347,0,0,0,0,0,0,0,0,0,True,road2281_lane0,straight,road41_lane0,road42_lane0
126,Town05,2240,2,2,3,0,0,0,348,0,0,0,0,0,0,0,0,0,True,road2281_lane0,straight,road41_lane0,road42_lane0
128,Town05,2240,2,2,4,0,0,0,339,0,0,0,0,0,0,0,0,0,True,road2281_lane0,straight,road41_lane0,road42_lane0
130,Town05,2240,2,2,5,0,0,0,340,0,0,0,0,0,0,0,0,0,True,road2281_lane0,straight,road41_lane0,road42_lane0
132,Town05,2240,2,2,6,0,0,0,342,0,0,0,0,0,0,0,0,0,True,road2281_lane0,straight,road41_lane0,road42_lane0
134,Town05,2240,2,2,7,0,0,0,341,0,0,0,0,0,0,0,0,0,True,road2281_lane0,straight,road41_lane0,road42_lane0
136,Town05,2240,2,2,8,0,0,0,340,0,0,0,0,0,0,0,0,0,True,road2281_lane0,straight,road41_lane0,road42_lane0
138,Town05,2240,2,2,9,0,0,0,342,0,0,0,0,0,0,0,0,0,True,road2281_lane0,straight,road41_lane0,road42_lane0
164,Town05,2240,2,4,2,0,0,0,298,0,0,0,0,0,0,0,0,0,True,road2242_lane0,left,road51_lane2,road41_lane2
168,Town05,2240,2,4,4,0,0,0,301,0,0,0,0,0,0,0,0,0,True,road2242_lane0,left,road51_lane2,road41_lane2
224,Town05,2240,2,7,2,0,0,0,362,0,0,0,0,0,0,0,0,0,True,road2280_lane0,straight,road42_lane2,road41_lane2
232,Town05,2240,2,7,6,0,0,0,361,0,0,0,0,0,0,0,0,0,True,road2280_lane0,straight,road42_lane2,road41_lane2
236,Town05,2240,2,7,8,0,0,0,363,0,0,0,0,0,0,0,0,0,True,road2280_lane0,straight,road42_lane2,road41_lane2
